Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.31'',Longitud :,78°11'19.1'',Altitud :,632 msnm.
Tipo :,HLG - Hidrológica,Código :,221506
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2022-09-20,0.000,0.900,0.900,0.900
2022-09-21,0.910,0.910,0.900,0.900
2022-09-22,0.900,0.900,0.900,0.900
2022-09-23,0.900,0.900,0.900,0.900
2022-09-24,0.900,0.900,0.900,0.900
2022-09-25,0.900,0.900,0.890,0.890
2022-09-26,0.910,0.910,0.900,0.900
2022-09-27,0.950,0.950,0.930,0.920
2022-09-28,0.900,0.900,0.900,0.900
2022-09-29,0.900,0.900,0.900,0.900
2022-09-30,0.940,1.190,1.380,1.400
